"names","center_x","center_y","cluster_no","cell_type"
"2997859600411100234-mPFC_NF3_r1-mPFC","11086.2097428359","1073.37496118051","5","N_Otof"
"2997859600411100235-mPFC_NF3_r1-mPFC","11098.5944648454","1075.20771430741","13","N_Sst"
"2997859600411100255-mPFC_NF3_r1-mPFC","11085.3437402872","1087.97888188842","5","N_Otof"
"2997859600411100286-mPFC_NF3_r1-mPFC","11134.3205929699","988.427979905785","1","N_Slc30a3"
"2997859600411100307-mPFC_NF3_r1-mPFC","11127.3211742857","1022.84023686025","5","N_Otof"
"2997859600411100308-mPFC_NF3_r1-mPFC","11084.6555793969","1026.40946026952","5","N_Otof"
"2997859600411100316-mPFC_NF3_r1-mPFC","11134.1977264069","1053.69939448362","5","N_Otof"
"2997859600411100319-mPFC_NF3_r1-mPFC","11100.1788750353","1057.36094059146","5","N_Otof"
"2997859600411200026-mPFC_NF3_r1-mPFC","11092.0261777925","1092.84850288731","5","N_Otof"
"2997859600411200031-mPFC_NF3_r1-mPFC","11029.5306237978","1019.17795046852","17","N_Vip"
"2997859600412100017-mPFC_NF3_r1-mPFC","11151.5633276291","979.105433038216","5","N_Otof"
"2997859600412100033-mPFC_NF3_r1-mPFC","11154.6022886254","985.586683359703","5","N_Otof"
"2997859600412100084-mPFC_NF3_r1-mPFC","11173.6624702307","1011.81607492086","1","N_Slc30a3"
"2997859600412100090-mPFC_NF3_r1-mPFC","11180.5631567896","1013.01379739544","1","N_Slc30a3"
"2997859600412100123-mPFC_NF3_r1-mPFC","11152.858532975","1035.53989558036","1","N_Slc30a3"
"2997859600412100152-mPFC_NF3_r1-mPFC","11239.4571984144","1049.47063428281","1","N_Slc30a3"
"2997859600412100156-mPFC_NF3_r1-mPFC","11212.9581416117","1051.98442968819","1","N_Slc30a3"
"2997859600412100158-mPFC_NF3_r1-mPFC","11222.9072849377","1055.05996411668","1","N_Slc30a3"
"2997859600412100188-mPFC_NF3_r1-mPFC","11204.2743919166","1073.08526012958","11","N_Lhx6"
"2997859600412100207-mPFC_NF3_r1-mPFC","11214.2552916177","1081.36158268842","1","N_Slc30a3"
"2997859600412100273-mPFC_NF3_r1-mPFC","11178.5732780217","1025.36228599916","13","N_Sst"
"2997859600412100277-mPFC_NF3_r1-mPFC","11194.0826830376","1049.54785022869","1","N_Slc30a3"
"2997859600412100278-mPFC_NF3_r1-mPFC","11239.6647026317","1046.53416877523","1","N_Slc30a3"
"2997859600412100279-mPFC_NF3_r1-mPFC","11218.7155333584","1054.26924241452","1","N_Slc30a3"
"2997859600412100280-mPFC_NF3_r1-mPFC","11150.3184805136","1051.00141312584","5","N_Otof"
"2997859600412100284-mPFC_NF3_r1-mPFC","11169.6549914877","1063.24924005846","15","N_Nptx1/Car4"
"2997859600412100285-mPFC_NF3_r1-mPFC","11238.0059416256","1069.65677344415","2","N_Baiap3"
"2997859600412100301-mPFC_NF3_r1-mPFC","11238.1154945899","1065.50121984017","8","N_Nptx1/Itm2a"
"2997859600412200023-mPFC_NF3_r1-mPFC","11235.9170570646","1061.07584713329","8","N_Nptx1/Itm2a"
"2997859600412200024-mPFC_NF3_r1-mPFC","11156.7367599303","1068.60378545681","5","N_Otof"
"2997859600412200036-mPFC_NF3_r1-mPFC","11152.570744365","978.971894045522","5","N_Otof"
"2997859600412200046-mPFC_NF3_r1-mPFC","11148.5637673635","1037.38971478195","1","N_Slc30a3"
"2997859600412200050-mPFC_NF3_r1-mPFC","11146.7899860448","1066.06575046591","17","N_Vip"
"2997859600413100033-mPFC_NF3_r1-mPFC","11316.3751857244","983.277208829898","1","N_Slc30a3"
"2997859600413100035-mPFC_NF3_r1-mPFC","11273.8430186208","984.523125704915","13","N_Sst"
"2997859600413100038-mPFC_NF3_r1-mPFC","11326.8745607261","987.094887628706","1","N_Slc30a3"
"2997859600413100051-mPFC_NF3_r1-mPFC","11313.9913795912","998.071707123047","1","N_Slc30a3"
