names,center_x,center_y,cluster_no,cell_type,fov
2966720100057100046-mPFC_HC11_r1-mPFC,1781.38761817934,5634.73107500719,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100007-mPFC_HC11_r1-mPFC,1859.78970702622,5626.5604019746,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100008-mPFC_HC11_r1-mPFC,1870.26042857481,5625.66511819922,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100015-mPFC_HC11_r1-mPFC,1900.60825531908,5629.84311347327,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100016-mPFC_HC11_r1-mPFC,1828.44805202729,5630.03296625457,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100018-mPFC_HC11_r1-mPFC,1888.35563156866,5633.14456090783,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100019-mPFC_HC11_r1-mPFC,1847.29936733691,5638.07554386647,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100022-mPFC_HC11_r1-mPFC,1879.14128904465,5636.42734830439,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100023-mPFC_HC11_r1-mPFC,1862.45919081425,5637.87208316695,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100041-mPFC_HC11_r1-mPFC,1842.56271320185,5629.20469158045,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100058100048-mPFC_HC11_r1-mPFC,1839.47157007421,5640.28074753108,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100008-mPFC_HC11_r1-mPFC,1963.51752377882,5623.94662891018,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100010-mPFC_HC11_r1-mPFC,1922.59969220293,5625.55666187625,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100012-mPFC_HC11_r1-mPFC,1992.25596392921,5624.25406596922,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100014-mPFC_HC11_r1-mPFC,1940.0234466029,5629.22880217223,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100015-mPFC_HC11_r1-mPFC,1947.87072517399,5627.74768194232,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100017-mPFC_HC11_r1-mPFC,1977.89895747214,5628.99448395485,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100018-mPFC_HC11_r1-mPFC,1984.89472591517,5627.57017103542,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100023-mPFC_HC11_r1-mPFC,1969.15222927019,5629.36429333443,7,N_Tac1,mPFC_HC11_r1-mPFC
2966720100059100024-mPFC_HC11_r1-mPFC,1928.59098077911,5633.23502902977,7,N_Tac1,mPFC_HC11_r1-mPFC
