names,center_x,center_y,cluster_no,cell_type,fov
2943943200121100046-mPFC_NF2_r0-mPFC,6892.78390077227,5130.17856773518,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200121100047-mPFC_NF2_r0-mPFC,6885.62402561037,5130.6300624311,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200122100119-mPFC_NF2_r0-mPFC,6917.98687777332,5103.44379788643,20,N_Npy,mPFC_NF2_r0-mPFC
2943943200122100179-mPFC_NF2_r0-mPFC,6959.21254989191,5108.8165172156,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200123100127-mPFC_NF2_r0-mPFC,7069.84310614917,5108.79325797737,20,N_Npy,mPFC_NF2_r0-mPFC
2943943200123100147-mPFC_NF2_r0-mPFC,7127.38389983629,5129.35001784478,20,N_Npy,mPFC_NF2_r0-mPFC
2943943200123100193-mPFC_NF2_r0-mPFC,7036.70328663053,5115.17927922537,20,N_Npy,mPFC_NF2_r0-mPFC
2943943200124100045-mPFC_NF2_r0-mPFC,7187.37328581771,5049.85467543076,20,N_Npy,mPFC_NF2_r0-mPFC
2943943200128100056-mPFC_NF2_r0-mPFC,7679.34922938765,5062.85287960298,18,N_Tac2,mPFC_NF2_r0-mPFC
2943943200128100085-mPFC_NF2_r0-mPFC,7659.49153432778,5090.25115035523,3,N_Vipr2,mPFC_NF2_r0-mPFC
2943943200128100191-mPFC_NF2_r0-mPFC,7667.26459926854,5101.1138632759,3,N_Vipr2,mPFC_NF2_r0-mPFC
2943943200129100163-mPFC_NF2_r0-mPFC,7758.67631125481,5083.76514979591,20,N_Npy,mPFC_NF2_r0-mPFC
2943943200129200007-mPFC_NF2_r0-mPFC,7734.30473333505,5079.1974648281,3,N_Vipr2,mPFC_NF2_r0-mPFC
2943943200170100073-mPFC_NF2_r0-mPFC,6278.66235763653,5236.01919286327,17,N_Vip,mPFC_NF2_r0-mPFC
2943943200172100099-mPFC_NF2_r0-mPFC,6526.50838857993,5210.54136236404,20,N_Npy,mPFC_NF2_r0-mPFC
2943943200172100103-mPFC_NF2_r0-mPFC,6477.02860634247,5220.70582039459,17,N_Vip,mPFC_NF2_r0-mPFC
2943943200172200010-mPFC_NF2_r0-mPFC,6504.78864395249,5251.81420079275,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100007-mPFC_NF2_r0-mPFC,6652.24950800472,5177.40228313101,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100016-mPFC_NF2_r0-mPFC,6620.48445967927,5184.65468881153,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100024-mPFC_NF2_r0-mPFC,6606.402827552,5198.38450502807,17,N_Vip,mPFC_NF2_r0-mPFC
2943943200173100026-mPFC_NF2_r0-mPFC,6591.4925478934,5199.87998745733,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100035-mPFC_NF2_r0-mPFC,6595.80043204874,5206.95774561985,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100040-mPFC_NF2_r0-mPFC,6636.3166810847,5214.99474188723,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100046-mPFC_NF2_r0-mPFC,6599.20172605051,5223.5958116476,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100047-mPFC_NF2_r0-mPFC,6564.49567758218,5221.37211286347,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100048-mPFC_NF2_r0-mPFC,6570.43386210633,5225.35050534704,9,N_Rprm,mPFC_NF2_r0-mPFC
2943943200173100050-mPFC_NF2_r0-mPFC,6636.21393175694,5231.25892159051,5,N_Otof,mPFC_NF2_r0-mPFC
2943943200173100054-mPFC_NF2_r0-mPFC,6576.81847351884,5229.63056748901,5,N_Otof,mPFC_NF2_r0-mPFC
