names,center_x,center_y,cluster_no,cell_type,fov
2944083900095200017-mPFC_HC1_r1-mPFC,7368.19484771449,7117.51218438735,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900096100098-mPFC_HC1_r1-mPFC,7513.55602658259,7106.24162650237,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900096100107-mPFC_HC1_r1-mPFC,7545.00305929504,7124.61192026922,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900097200016-mPFC_HC1_r1-mPFC,7630.99310014605,7133.82391706798,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900133100084-mPFC_HC1_r1-mPFC,7110.57311152081,7205.29325844759,20,N_Npy,mPFC_HC1_r1-mPFC
2944083900134100070-mPFC_HC1_r1-mPFC,7222.54914520933,7194.3522772146,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900134100122-mPFC_HC1_r1-mPFC,7233.79717957989,7245.72166883271,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900134100125-mPFC_HC1_r1-mPFC,7178.30848127906,7249.80560298668,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900134100128-mPFC_HC1_r1-mPFC,7165.10561428833,7251.07058811797,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900134100153-mPFC_HC1_r1-mPFC,7181.54284233114,7242.03787087486,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900134100154-mPFC_HC1_r1-mPFC,7165.75862638977,7249.7445334766,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900134200044-mPFC_HC1_r1-mPFC,7177.84985144844,7248.24163674459,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100010-mPFC_HC1_r1-mPFC,7311.93698063733,7155.77958729284,20,N_Npy,mPFC_HC1_r1-mPFC
2944083900135100037-mPFC_HC1_r1-mPFC,7340.20435807479,7188.68454943519,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900135100043-mPFC_HC1_r1-mPFC,7274.15800494384,7197.19238835219,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900135100051-mPFC_HC1_r1-mPFC,7293.37639917954,7209.38211490681,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100054-mPFC_HC1_r1-mPFC,7305.61536405647,7215.67326836427,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100056-mPFC_HC1_r1-mPFC,7314.383194116,7222.56960457201,20,N_Npy,mPFC_HC1_r1-mPFC
2944083900135100057-mPFC_HC1_r1-mPFC,7353.90580145316,7218.70619413403,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100059-mPFC_HC1_r1-mPFC,7281.35106341539,7219.0567487638,20,N_Npy,mPFC_HC1_r1-mPFC
2944083900135100066-mPFC_HC1_r1-mPFC,7279.32663163906,7226.19864194471,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100072-mPFC_HC1_r1-mPFC,7305.62862797649,7233.15551867637,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100075-mPFC_HC1_r1-mPFC,7299.50417533478,7238.13820166672,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100076-mPFC_HC1_r1-mPFC,7266.39582269186,7239.68397185578,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100092-mPFC_HC1_r1-mPFC,7254.92862362076,7252.23143391725,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100129-mPFC_HC1_r1-mPFC,7334.09439786228,7225.42135139712,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135100130-mPFC_HC1_r1-mPFC,7362.15758128892,7230.78913164585,17,N_Vip,mPFC_HC1_r1-mPFC
2944083900135100143-mPFC_HC1_r1-mPFC,7323.81881141318,7240.90333455878,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135200029-mPFC_HC1_r1-mPFC,7324.46304203882,7241.09109466345,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900135200033-mPFC_HC1_r1-mPFC,7297.37764526322,7251.22441630377,13,N_Sst,mPFC_HC1_r1-mPFC
2944083900136100007-mPFC_HC1_r1-mPFC,7394.00377308034,7169.23419897856,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100008-mPFC_HC1_r1-mPFC,7476.34696513438,7181.33469104108,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100013-mPFC_HC1_r1-mPFC,7420.01551159136,7187.43273276485,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100015-mPFC_HC1_r1-mPFC,7458.47156571385,7190.96573961976,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100020-mPFC_HC1_r1-mPFC,7390.10214242236,7192.86413027137,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100030-mPFC_HC1_r1-mPFC,7408.78040310936,7205.45480854549,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100037-mPFC_HC1_r1-mPFC,7452.91144773104,7214.417876882,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100066-mPFC_HC1_r1-mPFC,7420.54719192846,7244.09517432593,1,N_Slc30a3,mPFC_HC1_r1-mPFC
2944083900136100068-mPFC_HC1_r1-mPFC,7455.8209124528,7247.38903483488,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100087-mPFC_HC1_r1-mPFC,7483.25558397305,7176.43658550421,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100089-mPFC_HC1_r1-mPFC,7455.5304074273,7195.4852700221,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100095-mPFC_HC1_r1-mPFC,7435.89712893193,7217.21023451709,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136100096-mPFC_HC1_r1-mPFC,7391.19911883305,7218.16073129858,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136200004-mPFC_HC1_r1-mPFC,7372.10318215791,7164.11303500388,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136200011-mPFC_HC1_r1-mPFC,7452.48259876371,7193.93060649963,5,N_Otof,mPFC_HC1_r1-mPFC
2944083900136200014-mPFC_HC1_r1-mPFC,7437.82999614561,7215.91090490474,5,N_Otof,mPFC_HC1_r1-mPFC
