names,center_x,center_y,cluster_no,cell_type,fov
2967152000058100160-mPFC_HC11_r2-mPFC,7491.77557568444,7200.25610425823,3,N_Vipr2,mPFC_HC11_r2-mPFC
2967152000059100139-mPFC_HC11_r2-mPFC,7654.2680387843,7184.54975228069,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000059100297-mPFC_HC11_r2-mPFC,7680.77989151676,7216.3813847077,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000061100293-mPFC_HC11_r2-mPFC,7932.59150510162,7237.97918920226,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000062200020-mPFC_HC11_r2-mPFC,7965.85446102318,7240.70915604005,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000105100273-mPFC_HC11_r2-mPFC,7274.24154906862,7321.94756533485,20,N_Npy,mPFC_HC11_r2-mPFC
2967152000105200015-mPFC_HC11_r2-mPFC,7347.90304131546,7355.11905076853,17,N_Vip,mPFC_HC11_r2-mPFC
2967152000106100155-mPFC_HC11_r2-mPFC,7452.4313188925,7335.59600493186,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000106100195-mPFC_HC11_r2-mPFC,7411.86065000844,7353.96265519188,16,N_Dusp1,mPFC_HC11_r2-mPFC
2967152000106100240-mPFC_HC11_r2-mPFC,7440.36319146472,7325.31083518749,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000106100245-mPFC_HC11_r2-mPFC,7407.01099304839,7341.6904633061,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000106100259-mPFC_HC11_r2-mPFC,7461.35574915789,7357.76427207973,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000106200023-mPFC_HC11_r2-mPFC,7405.81640305286,7354.57168911314,16,N_Dusp1,mPFC_HC11_r2-mPFC
2967152000107100130-mPFC_HC11_r2-mPFC,7493.74184479953,7309.3334739129,20,N_Npy,mPFC_HC11_r2-mPFC
2967152000107100156-mPFC_HC11_r2-mPFC,7508.17996757195,7319.31309761701,3,N_Vipr2,mPFC_HC11_r2-mPFC
2967152000107100206-mPFC_HC11_r2-mPFC,7492.26234946196,7347.02795853167,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000107100211-mPFC_HC11_r2-mPFC,7513.19242913163,7351.81268113278,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000107100267-mPFC_HC11_r2-mPFC,7547.83955613289,7332.55174734998,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000107100270-mPFC_HC11_r2-mPFC,7495.11081447169,7350.30761810609,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000107200025-mPFC_HC11_r2-mPFC,7498.81283026572,7350.60724049249,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000107200030-mPFC_HC11_r2-mPFC,7494.88100464114,7362.50801885999,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000108100114-mPFC_HC11_r2-mPFC,7623.11161436323,7306.7550541942,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000108100168-mPFC_HC11_r2-mPFC,7605.67178163186,7349.09365380143,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000109200013-mPFC_HC11_r2-mPFC,7718.85203256359,7324.2377732195,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000110200011-mPFC_HC11_r2-mPFC,7837.20403731201,7325.98914613255,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000111100169-mPFC_HC11_r2-mPFC,7970.54050928179,7317.71112857739,22,N_Ass1,mPFC_HC11_r2-mPFC
2967152000111100193-mPFC_HC11_r2-mPFC,7961.84818529043,7333.78009722804,22,N_Ass1,mPFC_HC11_r2-mPFC
2967152000111100210-mPFC_HC11_r2-mPFC,8027.69245989768,7342.53520861506,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000111100266-mPFC_HC11_r2-mPFC,7969.3641471313,7318.72594416752,22,N_Ass1,mPFC_HC11_r2-mPFC
2967152000111100267-mPFC_HC11_r2-mPFC,8012.32086608595,7329.86433132963,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000111100269-mPFC_HC11_r2-mPFC,8031.87009523924,7350.43610836486,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000111200016-mPFC_HC11_r2-mPFC,8031.8414318039,7353.43855476314,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000111200018-mPFC_HC11_r2-mPFC,8021.80246725927,7359.73014083713,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000111200026-mPFC_HC11_r2-mPFC,8025.8683370538,7343.83349355358,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000112100135-mPFC_HC11_r2-mPFC,8140.85447967535,7336.24631064254,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000112100146-mPFC_HC11_r2-mPFC,8169.8702147557,7343.57234137295,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000112100204-mPFC_HC11_r2-mPFC,8129.45446574334,7335.99969118843,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000112200020-mPFC_HC11_r2-mPFC,8130.34915866389,7335.92968520382,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000113100160-mPFC_HC11_r2-mPFC,8275.41389573914,7342.37018010208,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000113100168-mPFC_HC11_r2-mPFC,8296.16786461537,7348.86093552408,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000113100169-mPFC_HC11_r2-mPFC,8233.82460335423,7353.91976366455,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000113100172-mPFC_HC11_r2-mPFC,8279.15806966737,7354.8519058943,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000113100221-mPFC_HC11_r2-mPFC,8240.48779371504,7342.72270183657,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114100127-mPFC_HC11_r2-mPFC,8414.31935731387,7325.5077784383,3,N_Vipr2,mPFC_HC11_r2-mPFC
2967152000114100148-mPFC_HC11_r2-mPFC,8343.50501217301,7335.78977512648,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114100154-mPFC_HC11_r2-mPFC,8379.9089392624,7338.90296082575,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114100155-mPFC_HC11_r2-mPFC,8371.34559504937,7340.75929250211,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000114100162-mPFC_HC11_r2-mPFC,8344.33443965847,7346.30729317853,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114100165-mPFC_HC11_r2-mPFC,8328.02231273743,7347.65023690111,16,N_Dusp1,mPFC_HC11_r2-mPFC
2967152000114100177-mPFC_HC11_r2-mPFC,8332.3955817956,7357.39992109417,16,N_Dusp1,mPFC_HC11_r2-mPFC
2967152000114100239-mPFC_HC11_r2-mPFC,8327.54535816068,7335.45242426214,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114100243-mPFC_HC11_r2-mPFC,8380.30358193596,7354.61312814679,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114200031-mPFC_HC11_r2-mPFC,8421.95763374208,7348.66912557753,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114200034-mPFC_HC11_r2-mPFC,8375.90709047361,7352.79621169694,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000114200035-mPFC_HC11_r2-mPFC,8383.882239147,7354.98369157377,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000115100046-mPFC_HC11_r2-mPFC,8434.96697998843,7349.16766155644,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000115100089-mPFC_HC11_r2-mPFC,8503.83497201631,7303.15283070066,2,N_Baiap3,mPFC_HC11_r2-mPFC
2967152000115100111-mPFC_HC11_r2-mPFC,8516.81357696086,7319.46335353448,12,N_Nrn1/Islr,mPFC_HC11_r2-mPFC
2967152000115100128-mPFC_HC11_r2-mPFC,8509.81815041018,7336.0354403216,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000115100136-mPFC_HC11_r2-mPFC,8458.40709079583,7342.40989029536,3,N_Vipr2,mPFC_HC11_r2-mPFC
2967152000115100141-mPFC_HC11_r2-mPFC,8529.4326574724,7350.32307988092,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000115200021-mPFC_HC11_r2-mPFC,8521.3475778849,7326.26896349838,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000115200033-mPFC_HC11_r2-mPFC,8503.61805617193,7360.5832545988,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000115200073-mPFC_HC11_r2-mPFC,8518.09497895894,7343.38042495698,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100090-mPFC_HC11_r2-mPFC,8580.10566839228,7309.60302668935,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100096-mPFC_HC11_r2-mPFC,8614.86574502652,7310.09004292827,12,N_Nrn1/Islr,mPFC_HC11_r2-mPFC
2967152000116100100-mPFC_HC11_r2-mPFC,8627.0988814077,7310.42014765033,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000116100109-mPFC_HC11_r2-mPFC,8564.14500567479,7317.37009699694,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100110-mPFC_HC11_r2-mPFC,8635.80646208831,7317.14118992627,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100124-mPFC_HC11_r2-mPFC,8572.1940102396,7324.3224211467,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100132-mPFC_HC11_r2-mPFC,8557.20528370302,7332.93580885564,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100139-mPFC_HC11_r2-mPFC,8568.78989783434,7341.66632610738,17,N_Vip,mPFC_HC11_r2-mPFC
2967152000116100143-mPFC_HC11_r2-mPFC,8631.26216800307,7346.71915499199,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100145-mPFC_HC11_r2-mPFC,8607.32585478038,7347.43099821232,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100146-mPFC_HC11_r2-mPFC,8553.78120746004,7345.98534717972,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100152-mPFC_HC11_r2-mPFC,8639.57976316154,7350.29686150549,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100154-mPFC_HC11_r2-mPFC,8653.62905103521,7350.50169441416,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000116100183-mPFC_HC11_r2-mPFC,8622.3068250601,7346.00368925867,12,N_Nrn1/Islr,mPFC_HC11_r2-mPFC
2967152000116100184-mPFC_HC11_r2-mPFC,8563.93324258344,7312.67638365253,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000116100200-mPFC_HC11_r2-mPFC,8634.95296347658,7348.5404291874,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000116200035-mPFC_HC11_r2-mPFC,8552.5546196737,7358.96256148906,9,N_Rprm,mPFC_HC11_r2-mPFC
2967152000116200075-mPFC_HC11_r2-mPFC,8662.12633272924,7356.23344052001,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000117100149-mPFC_HC11_r2-mPFC,8698.21841587571,7324.33811535114,20,N_Npy,mPFC_HC11_r2-mPFC
2967152000117100165-mPFC_HC11_r2-mPFC,8733.58130828309,7331.6701203036,1,N_Slc30a3,mPFC_HC11_r2-mPFC
2967152000117100244-mPFC_HC11_r2-mPFC,8766.57175562961,7317.47838585701,13,N_Sst,mPFC_HC11_r2-mPFC
2967152000117100249-mPFC_HC11_r2-mPFC,8734.92671815595,7345.46550561733,10,N_Crym,mPFC_HC11_r2-mPFC
2967152000117100253-mPFC_HC11_r2-mPFC,8748.31583378634,7355.54651604205,12,N_Nrn1/Islr,mPFC_HC11_r2-mPFC
2967152000117100260-mPFC_HC11_r2-mPFC,8680.46601732078,7328.52089421411,10,N_Crym,mPFC_HC11_r2-mPFC
