names,center_x,center_y,cluster_no,cell_type,fov
2793880400003100005-BLA_NF2_r1-BLA,3528.67630224044,138.537615882867,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100019-BLA_NF2_r1-BLA,3565.08556035277,141.70376807548,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100024-BLA_NF2_r1-BLA,3469.69964618743,145.320781582836,17,N_Vip,BLA_NF2_r1-BLA
2793880400003100025-BLA_NF2_r1-BLA,3596.54255444016,143.89831528176,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100031-BLA_NF2_r1-BLA,3543.66696297752,145.55572284405,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100033-BLA_NF2_r1-BLA,3515.86066355651,182.661956146744,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100040-BLA_NF2_r1-BLA,3499.51424921438,151.702693846002,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100065-BLA_NF2_r1-BLA,3555.58887230391,161.777817036107,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100068-BLA_NF2_r1-BLA,3564.2117303593,164.39317726176,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100073-BLA_NF2_r1-BLA,3458.35044743619,163.870815162238,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100076-BLA_NF2_r1-BLA,3543.17927740585,165.96917096562,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100092-BLA_NF2_r1-BLA,3612.83485505677,178.199835758367,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100097-BLA_NF2_r1-BLA,3574.31733442884,181.68366587693,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100115-BLA_NF2_r1-BLA,3467.12007775572,190.833887432954,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100145-BLA_NF2_r1-BLA,3515.26496756405,162.151527823855,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100148-BLA_NF2_r1-BLA,3505.84228321872,168.626766694506,5,N_Otof,BLA_NF2_r1-BLA
2793880400003100152-BLA_NF2_r1-BLA,3541.22665869324,191.892918651579,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100025-BLA_NF2_r1-BLA,3821.59340962819,-25.003937269183,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100055-BLA_NF2_r1-BLA,3784.54170728793,-50.775230323605,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100071-BLA_NF2_r1-BLA,3700.45789111862,-42.2607793724069,16,N_Dusp1,BLA_NF2_r1-BLA
2793880400004100073-BLA_NF2_r1-BLA,3771.40587234299,-42.2692308803285,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100079-BLA_NF2_r1-BLA,3738.38970922534,-40.240910308705,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100108-BLA_NF2_r1-BLA,3808.12289465769,-30.4873844821484,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100113-BLA_NF2_r1-BLA,3702.22514000101,-24.9358579204046,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100115-BLA_NF2_r1-BLA,3852.53678242038,-25.823096593948,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100116-BLA_NF2_r1-BLA,3738.72510778896,-26.0889116674504,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100121-BLA_NF2_r1-BLA,3774.89265200194,-26.3700186696182,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100123-BLA_NF2_r1-BLA,3722.91623517995,-21.5030682384918,16,N_Dusp1,BLA_NF2_r1-BLA
2793880400004100146-BLA_NF2_r1-BLA,3782.60865673028,-11.2230815143382,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100156-BLA_NF2_r1-BLA,3810.39122466787,-7.767478289434,16,N_Dusp1,BLA_NF2_r1-BLA
2793880400004100174-BLA_NF2_r1-BLA,3833.93552811323,2.31620331387358,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100175-BLA_NF2_r1-BLA,3668.61272135166,3.87071402292383,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100179-BLA_NF2_r1-BLA,3822.77579303389,5.05094047940625,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100180-BLA_NF2_r1-BLA,3782.70735672643,6.43255806417348,5,N_Otof,BLA_NF2_r1-BLA
2793880400004100196-BLA_NF2_r1-BLA,3686.38223385028,11.11866684835,16,N_Dusp1,BLA_NF2_r1-BLA
2793880400004100202-BLA_NF2_r1-BLA,3815.76508143216,16.1646032545107,5,N_Otof,BLA_NF2_r1-BLA
