names,center_x,center_y,cluster_no,cell_type,fov
2966319100011100146-mPFC_HC11_r0-mPFC,1785.0031974102,88.0814277190561,2,N_Baiap3,mPFC_HC11_r0-mPFC
2966319100013100306-mPFC_HC11_r0-mPFC,1990.80948155638,114.425669452312,20,N_Npy,mPFC_HC11_r0-mPFC
2966319100044100171-mPFC_HC11_r0-mPFC,1458.86740883767,234.03090581315,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100059-mPFC_HC11_r0-mPFC,1532.95045228088,164.096153357825,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100067-mPFC_HC11_r0-mPFC,1542.07188714651,177.966551691633,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100070-mPFC_HC11_r0-mPFC,1560.12470502649,174.610630563088,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100072-mPFC_HC11_r0-mPFC,1583.42329502267,180.825445438349,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100073-mPFC_HC11_r0-mPFC,1520.64418448988,178.977448554348,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100079-mPFC_HC11_r0-mPFC,1530.97699034026,182.714583402085,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100081-mPFC_HC11_r0-mPFC,1516.20744883141,186.82351773901,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100082-mPFC_HC11_r0-mPFC,1573.93015130243,184.03525928852,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100086-mPFC_HC11_r0-mPFC,1558.83641540927,188.003161581582,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100090-mPFC_HC11_r0-mPFC,1530.55447419429,191.983868001426,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100093-mPFC_HC11_r0-mPFC,1572.39141188366,192.576128023334,7,N_Tac1,mPFC_HC11_r0-mPFC
2966319100045100097-mPFC_HC11_r0-mPFC,1523.99714366142,197.757780005495,7,N_Tac1,mPFC_HC11_r0-mPFC
