names,center_x,center_y,cluster_no,cell_type,fov
2943951400006100108-mPFC_FR3_r0-mPFC,4453.28643104732,33.9500619419893,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100026-mPFC_FR3_r0-mPFC,4504.07063658265,-11.6244914742046,9,N_Rprm,mPFC_FR3_r0-mPFC
2943951400007100047-mPFC_FR3_r0-mPFC,4505.12523091852,68.8092972827327,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100052-mPFC_FR3_r0-mPFC,4562.51932638212,5.14256210709786,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100068-mPFC_FR3_r0-mPFC,4575.04035726123,15.0014430131681,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100094-mPFC_FR3_r0-mPFC,4538.4052976256,50.1187062743561,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100100-mPFC_FR3_r0-mPFC,4510.52640550553,56.1131434382928,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100104-mPFC_FR3_r0-mPFC,4549.46731117367,63.86285057919,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100110-mPFC_FR3_r0-mPFC,4518.7118134317,74.7617843391234,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100111-mPFC_FR3_r0-mPFC,4478.22427230928,72.0275409065867,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100139-mPFC_FR3_r0-mPFC,4541.43686901721,-19.3383153656502,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100143-mPFC_FR3_r0-mPFC,4556.12371342441,13.2790088046679,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100146-mPFC_FR3_r0-mPFC,4535.17015885941,0.964383135009185,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100150-mPFC_FR3_r0-mPFC,4519.81543020231,4.08135699978058,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100151-mPFC_FR3_r0-mPFC,4545.39833380162,4.5560862192398,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100157-mPFC_FR3_r0-mPFC,4521.71203040408,41.9069050729529,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100158-mPFC_FR3_r0-mPFC,4558.55637086843,50.6539656031581,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007100161-mPFC_FR3_r0-mPFC,4535.83060342557,72.8690551215649,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007200007-mPFC_FR3_r0-mPFC,4539.19267671947,-1.91251536095369,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007200019-mPFC_FR3_r0-mPFC,4545.81433732407,39.9496831140008,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007200021-mPFC_FR3_r0-mPFC,4518.18756781979,44.9920666840375,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007200024-mPFC_FR3_r0-mPFC,4464.21393479661,52.3172953488127,17,N_Vip,mPFC_FR3_r0-mPFC
2943951400007200032-mPFC_FR3_r0-mPFC,4484.80078596641,85.616013194435,17,N_Vip,mPFC_FR3_r0-mPFC
2943951400007200067-mPFC_FR3_r0-mPFC,4521.76832351013,83.3489601242526,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400007200069-mPFC_FR3_r0-mPFC,4528.98552239428,84.887211187416,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400008100010-mPFC_FR3_r0-mPFC,4614.40655420157,3.51943834393638,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400008100016-mPFC_FR3_r0-mPFC,4631.72482256179,11.0907077617371,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400008100037-mPFC_FR3_r0-mPFC,4669.78607965347,27.1921484186854,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400008100047-mPFC_FR3_r0-mPFC,4698.72720321543,36.3064956523618,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400008100062-mPFC_FR3_r0-mPFC,4633.34011146564,64.6151555154319,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400008100078-mPFC_FR3_r0-mPFC,4683.42592106931,78.5990420857487,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400008100084-mPFC_FR3_r0-mPFC,4638.2408896503,83.5262064267466,20,N_Npy,mPFC_FR3_r0-mPFC
2943951400008100085-mPFC_FR3_r0-mPFC,4698.21826115995,85.6194138795074,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400008200015-mPFC_FR3_r0-mPFC,4585.05890551644,55.0274898301317,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400008200022-mPFC_FR3_r0-mPFC,4690.37567186874,82.5665363211477,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400008200032-mPFC_FR3_r0-mPFC,4583.41329463922,43.6994145832169,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400008200036-mPFC_FR3_r0-mPFC,4586.33232681571,70.21952680947,5,N_Otof,mPFC_FR3_r0-mPFC
2943951400009100014-mPFC_FR3_r0-mPFC,4757.47961167138,-16.4774305125269,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400009100018-mPFC_FR3_r0-mPFC,4773.29748340721,-14.5930254606533,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400009100025-mPFC_FR3_r0-mPFC,4750.15230212434,-1.9291468968226,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400009100026-mPFC_FR3_r0-mPFC,4755.16933979485,-0.905307358153482,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400009100028-mPFC_FR3_r0-mPFC,4757.88938445617,12.0119266190917,13,N_Sst,mPFC_FR3_r0-mPFC
2943951400009100029-mPFC_FR3_r0-mPFC,4808.89744349943,15.239148629639,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400009100035-mPFC_FR3_r0-mPFC,4739.33034607104,36.1616067428114,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400009100038-mPFC_FR3_r0-mPFC,4801.28943444708,38.578335663761,1,N_Slc30a3,mPFC_FR3_r0-mPFC
2943951400009100044-mPFC_FR3_r0-mPFC,4752.99549242748,50.8243788980726,17,N_Vip,mPFC_FR3_r0-mPFC
2943951400009100058-mPFC_FR3_r0-mPFC,4752.83543417209,68.8709255508499,1,N_Slc30a3,mPFC_FR3_r0-mPFC
