names,center_x,center_y,cluster_no,cell_type,fov
2984551900063100227-mPFC_FR2_r0-mPFC,2138.38502689522,4962.58910702765,20,N_Npy,mPFC_FR2_r0-mPFC
2984551900064100171-mPFC_FR2_r0-mPFC,2245.84964082054,5010.7223361338,17,N_Vip,mPFC_FR2_r0-mPFC
2984551900065100148-mPFC_FR2_r0-mPFC,2297.12047534131,5012.75339360364,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900066100241-mPFC_FR2_r0-mPFC,2510.34792209935,5007.58677887986,17,N_Vip,mPFC_FR2_r0-mPFC
2984551900068100213-mPFC_FR2_r0-mPFC,2651.53312126085,5022.64129366419,17,N_Vip,mPFC_FR2_r0-mPFC
2984551900105100074-mPFC_FR2_r0-mPFC,1656.76943480521,5080.3918752237,20,N_Npy,mPFC_FR2_r0-mPFC
2984551900105100171-mPFC_FR2_r0-mPFC,1660.89741979566,5081.55450377865,20,N_Npy,mPFC_FR2_r0-mPFC
2984551900105100180-mPFC_FR2_r0-mPFC,1621.28272850874,5117.07289461732,20,N_Npy,mPFC_FR2_r0-mPFC
2984551900105200024-mPFC_FR2_r0-mPFC,1664.40539215184,5142.71811099291,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900106100140-mPFC_FR2_r0-mPFC,1788.58734045032,5127.77043411849,17,N_Vip,mPFC_FR2_r0-mPFC
2984551900106100188-mPFC_FR2_r0-mPFC,1788.85128858288,5127.71887609226,17,N_Vip,mPFC_FR2_r0-mPFC
2984551900106100191-mPFC_FR2_r0-mPFC,1711.5458396425,5138.79502545153,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900106100203-mPFC_FR2_r0-mPFC,1760.53498694295,5123.94306350564,1,N_Slc30a3,mPFC_FR2_r0-mPFC
2984551900106200029-mPFC_FR2_r0-mPFC,1747.72163459156,5141.80474038088,20,N_Npy,mPFC_FR2_r0-mPFC
2984551900106200030-mPFC_FR2_r0-mPFC,1777.29184821062,5145.61105247265,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900107100045-mPFC_FR2_r0-mPFC,1826.33224189034,5137.22176238084,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900107100146-mPFC_FR2_r0-mPFC,1874.7326354467,5117.7331244489,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900107100147-mPFC_FR2_r0-mPFC,1885.50506704207,5118.53524062589,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900107100169-mPFC_FR2_r0-mPFC,1852.28785295459,5136.37926334809,5,N_Otof,mPFC_FR2_r0-mPFC
2984551900107100229-mPFC_FR2_r0-mPFC,1891.26621028568,5133.97658652052,20,N_Npy,mPFC_FR2_r0-mPFC
2984551900107200014-mPFC_FR2_r0-mPFC,1919.60803968832,5125.24676536569,5,N_Otof,mPFC_FR2_r0-mPFC
